respondent_id,interviewer_id,supervisor,interview_date,duration_minutes,consent,age,gender,province,phone,email,employment_status,monthly_income,marital_status,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,open_ended
65302,INT002,Sarah Mokoena,2024-06-29,19,Yes,65.0,Female,Mpumalanga,0638284023,resp65302@survey.co.za,Student,7764.0,Single,5,5,1,3,4,3,2,3,1,2,Could be improved in some areas but generally satisfactory.
14165,INT002,Sarah Mokoena,2024-06-24,26,Yes,39.0,Other,Western Cape,0796677780,resp14165@survey.co.za,Employed,5585.0,Single,1,5,4,5,2,3,1,2,2,4,The process was straightforward and well explained to me.
13905,INT002,Sarah Mokoena,2024-08-04,17,Yes,63.0,Male,Northern Cape,0841662507,resp13905@survey.co.za,Retired,,Widowed,2,3,5,3,4,2,1,4,3,2,"Staff were friendly, responsive, and easy to work with."
22280,INT002,Sarah Mokoena,2024-09-24,20,Yes,56.0,Other,Free State,0645418267,resp22280@survey.co.za,Student,40626.0,Widowed,3,3,4,3,5,5,2,1,5,2,The service was very helpful and professional overall.
38657,INT002,Sarah Mokoena,2024-07-10,19,Yes,62.0,Other,North West,0765750117,resp38657@survey.co.za,Student,28860.0,Widowed,5,2,3,1,5,4,2,5,4,5,The process was straightforward and well explained to me.
40495,INT002,Sarah Mokoena,2024-09-08,16,Yes,,Male,Northern Cape,0799219319,resp40495@survey.co.za,Student,,Single,2,2,1,2,1,4,2,1,1,5,The process was straightforward and well explained to me.
76237,INT002,Sarah Mokoena,2024-08-08,14,Yes,36.0,Other,Western Cape,0741682046,resp76237@survey.co.za,Employed,18679.0,Divorced,4,1,4,1,3,5,4,3,1,5,I enjoyed the experience and would recommend it to others.
88907,INT002,Sarah Mokoena,2024-06-28,17,Yes,35.0,Other,Western Cape,0827005628,resp88907@survey.co.za,Retired,39842.0,Widowed,4,2,2,5,2,5,2,5,5,4,I enjoyed the experience and would recommend it to others.
13478,INT002,Sarah Mokoena,2024-08-22,26,Yes,32.0,Male,Northern Cape,0765038654,resp13478@survey.co.za,Unemployed,15366.0,Widowed,5,5,4,3,3,5,3,3,4,4,"Staff were friendly, responsive, and easy to work with."
83563,INT002,Sarah Mokoena,2024-07-25,26,Yes,45.0,Female,Free State,0836283223,resp83563@survey.co.za,Employed,,Divorced,1,3,5,1,5,2,3,1,3,2,Could be improved in some areas but generally satisfactory.
36062,INT002,Sarah Mokoena,2024-10-24,25,Yes,28.0,Male,Free State,0844647992,resp36062@survey.co.za,Employed,,Divorced,3,3,5,2,2,3,3,1,5,4,"Good service delivery, the staff were knowledgeable."
81426,INT002,Sarah Mokoena,2024-06-03,23,Yes,33.0,Female,Western Cape,0797417066,resp81426@survey.co.za,Employed,,Divorced,5,4,1,1,3,3,4,4,1,2,The service was very helpful and professional overall.
64987,INT003,Sarah Mokoena,2024-08-14,24,Yes,42.0,Other,KwaZulu-Natal,0827615632,resp64987@survey.co.za,Unemployed,19470.0,Married,2,1,4,4,5,5,5,1,2,4,The process was straightforward and well explained to me.
38893,INT003,Sarah Mokoena,2024-07-21,26,Yes,,Female,Gauteng,0749795418,resp38893@survey.co.za,Unemployed,31117.0,Married,5,4,2,2,4,5,2,4,4,5,I enjoyed the experience and would recommend it to others.
68878,INT003,Sarah Mokoena,2024-07-14,16,Yes,,Female,Mpumalanga,0718419054,resp68878@survey.co.za,Unemployed,,Widowed,4,4,3,3,2,3,3,5,1,3,The service was very helpful and professional overall.
87236,INT003,Sarah Mokoena,2024-09-24,18,Yes,36.0,Male,Mpumalanga,,resp87236@survey.co.za,Student,10623.0,Married,1,1,2,5,2,3,1,3,1,3,Very satisfied with the overall quality of the service.
46463,INT003,Sarah Mokoena,2024-08-09,22,Yes,35.0,Other,Northern Cape,0608800748,resp46463@survey.co.za,Employed,14263.0,Single,1,4,5,5,1,3,2,1,3,2,"Reasonable experience, though waiting times were a bit long."
10851,INT003,Sarah Mokoena,2024-07-18,17,Yes,64.0,Female,Mpumalanga,0639399526,resp10851@survey.co.za,Retired,,Single,4,2,4,5,1,3,4,5,5,1,The service was very helpful and professional overall.
30926,INT003,Sarah Mokoena,2024-09-08,24,Yes,37.0,Other,Limpopo,0841494355,resp30926@survey.co.za,Student,15289.0,Married,1,3,3,3,3,2,5,3,1,3,Could be improved in some areas but generally satisfactory.
65392,INT003,Sarah Mokoena,2024-09-23,16,Yes,43.0,Female,KwaZulu-Natal,0743210769,resp65392@survey.co.za,Unemployed,39125.0,Married,5,2,4,2,5,2,4,3,5,3,Very satisfied with the overall quality of the service.
54597,INT003,Sarah Mokoena,2024-06-08,18,Yes,30.0,Female,Northern Cape,,resp54597@survey.co.za,Retired,14512.0,Widowed,5,2,3,1,5,5,1,2,3,2,"Staff were friendly, responsive, and easy to work with."
46421,INT003,Sarah Mokoena,2024-07-30,18,Yes,50.0,Other,Limpopo,,resp46421@survey.co.za,Student,11997.0,Single,2,2,1,5,5,3,5,5,5,2,"Good service delivery, the staff were knowledgeable."
30379,INT003,Sarah Mokoena,2024-08-09,25,Yes,30.0,Other,Free State,0724733840,resp30379@survey.co.za,Unemployed,,Married,4,4,4,2,2,2,2,1,4,1,I enjoyed the experience and would recommend it to others.
38221,INT004,David Nkosi,2024-10-16,24,Yes,33.0,Female,Free State,,resp38221@survey.co.za,Employed,21173.0,Widowed,4,4,1,5,4,3,4,5,5,5,"Good service delivery, the staff were knowledgeable."
54118,INT004,David Nkosi,2024-09-27,26,Yes,24.0,Male,Northern Cape,0628087739,resp54118@survey.co.za,Student,7572.0,Single,5,4,5,1,2,3,4,4,3,3,Could be improved in some areas but generally satisfactory.
23396,INT004,David Nkosi,2024-09-25,16,Yes,,Other,Free State,0764387856,resp23396@survey.co.za,Retired,12416.0,Single,2,5,5,2,4,4,3,4,1,2,"Staff were friendly, responsive, and easy to work with."
22156,INT004,David Nkosi,2024-09-06,17,Yes,42.0,Other,KwaZulu-Natal,0603866974,resp22156@survey.co.za,Student,,Married,4,3,1,5,4,5,5,2,4,5,Could be improved in some areas but generally satisfactory.
59797,INT004,David Nkosi,2024-10-06,27,Yes,31.0,Male,Gauteng,,resp59797@survey.co.za,Employed,34245.0,Widowed,3,2,1,2,2,1,5,3,1,4,Very satisfied with the overall quality of the service.
22676,INT004,David Nkosi,2024-07-18,28,Yes,35.0,Other,Free State,0621923819,resp22676@survey.co.za,Student,10203.0,Single,5,5,1,2,5,3,5,5,2,1,Could be improved in some areas but generally satisfactory.
57052,INT004,David Nkosi,2024-09-25,24,Yes,24.0,Other,Limpopo,0817042962,resp57052@survey.co.za,Employed,8213.0,Single,1,4,2,2,3,5,5,5,5,2,"Staff were friendly, responsive, and easy to work with."
55082,INT004,David Nkosi,2024-07-24,16,Yes,42.0,Female,North West,,resp55082@survey.co.za,Employed,41075.0,Single,1,3,4,2,1,3,3,5,4,5,I enjoyed the experience and would recommend it to others.
89131,INT004,David Nkosi,2024-10-06,27,Yes,52.0,Other,Limpopo,0734018342,resp89131@survey.co.za,Unemployed,25741.0,Divorced,3,5,5,5,3,2,5,5,4,5,Very satisfied with the overall quality of the service.
44671,INT004,David Nkosi,2024-07-22,28,Yes,22.0,Male,Gauteng,0815724912,resp44671@survey.co.za,Student,12728.0,Single,2,5,4,4,1,3,3,5,2,1,"Staff were friendly, responsive, and easy to work with."
15695,INT004,David Nkosi,2024-10-01,24,Yes,41.0,Other,Northern Cape,,resp15695@survey.co.za,Employed,12460.0,Married,3,3,4,5,5,1,2,2,3,3,"Good service delivery, the staff were knowledgeable."
70217,INT004,David Nkosi,2024-08-24,24,Yes,31.0,Other,Free State,,resp70217@survey.co.za,Employed,32128.0,Married,1,5,3,5,3,5,5,1,2,5,"Staff were friendly, responsive, and easy to work with."
80284,INT004,David Nkosi,2024-07-31,19,Yes,23.0,Female,North West,0718581730,resp80284@survey.co.za,Student,30530.0,Married,2,5,1,3,3,1,3,4,1,4,"Staff were friendly, responsive, and easy to work with."
26361,INT005,David Nkosi,2024-08-19,15,Yes,33.0,Male,Mpumalanga,0826491819,resp26361@survey.co.za,Unemployed,11068.0,Single,4,5,1,4,5,2,2,3,4,5,Could be improved in some areas but generally satisfactory.
59615,INT005,David Nkosi,2024-10-12,28,Yes,35.0,Other,Gauteng,0826242557,resp59615@survey.co.za,Employed,39232.0,Divorced,1,1,3,1,5,1,3,4,1,1,Very satisfied with the overall quality of the service.
20328,INT005,David Nkosi,2024-10-10,23,Yes,42.0,Male,Eastern Cape,0614465793,resp20328@survey.co.za,Student,25915.0,Divorced,4,1,3,2,2,3,1,1,5,5,"Staff were friendly, responsive, and easy to work with."
82357,INT005,David Nkosi,2024-06-28,21,Yes,31.0,Other,Limpopo,0721902612,resp82357@survey.co.za,Employed,,Widowed,3,5,3,5,4,1,2,1,4,1,"Reasonable experience, though waiting times were a bit long."
48427,INT005,David Nkosi,2024-09-28,25,Yes,33.0,Other,Free State,0734887183,resp48427@survey.co.za,Unemployed,17985.0,Married,5,1,4,5,2,1,4,1,4,3,"Staff were friendly, responsive, and easy to work with."
57400,INT005,David Nkosi,2024-08-12,24,Yes,45.0,Female,KwaZulu-Natal,,resp57400@survey.co.za,Unemployed,26283.0,Single,4,4,1,1,4,1,3,4,4,2,"Reasonable experience, though waiting times were a bit long."
85674,INT005,David Nkosi,2024-09-07,16,Yes,67.0,Male,Mpumalanga,0616716235,resp85674@survey.co.za,Unemployed,39914.0,Widowed,4,4,5,4,2,5,2,5,2,4,"Reasonable experience, though waiting times were a bit long."
35203,INT005,David Nkosi,2024-09-22,21,Yes,58.0,Female,Northern Cape,0626167981,resp35203@survey.co.za,Retired,,Single,1,5,4,1,5,5,4,3,5,1,I enjoyed the experience and would recommend it to others.
19116,INT005,David Nkosi,2024-09-08,24,Yes,65.0,Other,North West,0768502096,resp19116@survey.co.za,Unemployed,9029.0,Married,1,2,2,5,1,2,2,4,5,3,The process was straightforward and well explained to me.
16006,INT005,David Nkosi,2024-10-19,27,Yes,41.0,Other,Limpopo,0601014148,resp16006@survey.co.za,Student,27561.0,Single,1,5,1,5,5,4,2,3,1,3,"Staff were friendly, responsive, and easy to work with."
39871,INT005,David Nkosi,2024-09-07,26,Yes,23.0,Male,North West,0837044627,resp39871@survey.co.za,Retired,30086.0,Married,4,4,4,5,2,2,4,2,2,5,"Staff were friendly, responsive, and easy to work with."
47930,INT005,David Nkosi,2024-09-17,14,Yes,64.0,Male,KwaZulu-Natal,,resp47930@survey.co.za,Retired,,Widowed,1,2,4,4,2,1,2,4,4,5,"Good service delivery, the staff were knowledgeable."
20458,INT006,Thabo Dlamini,2024-06-10,19,Yes,46.0,Female,Eastern Cape,0769107893,resp20458@survey.co.za,Student,5486.0,Single,5,4,2,5,3,4,5,5,3,1,"Good service delivery, the staff were knowledgeable."
40512,INT006,Thabo Dlamini,2024-10-27,30,Yes,66.0,Male,KwaZulu-Natal,,resp40512@survey.co.za,Student,23312.0,Single,4,5,1,5,5,1,2,4,1,5,"Good service delivery, the staff were knowledgeable."
23238,INT006,Thabo Dlamini,2024-07-14,24,Yes,,Other,Free State,0761866037,resp23238@survey.co.za,Student,24308.0,Single,3,2,1,5,3,5,3,1,4,5,"Staff were friendly, responsive, and easy to work with."
59823,INT006,Thabo Dlamini,2024-07-15,30,Yes,53.0,Male,KwaZulu-Natal,0843535634,resp59823@survey.co.za,Retired,,Divorced,3,3,2,5,3,3,3,1,1,5,Could be improved in some areas but generally satisfactory.
46434,INT006,Thabo Dlamini,2024-07-31,29,Yes,38.0,Other,Eastern Cape,0798385078,resp46434@survey.co.za,Unemployed,,Married,5,1,3,1,2,5,2,4,4,4,The process was straightforward and well explained to me.
69429,INT006,Thabo Dlamini,2024-08-07,17,Yes,25.0,Other,Limpopo,,resp69429@survey.co.za,Retired,,Single,4,4,4,3,4,5,2,4,4,4,"Staff were friendly, responsive, and easy to work with."
57819,INT006,Thabo Dlamini,2024-08-05,30,Yes,,Female,Mpumalanga,0797562471,resp57819@survey.co.za,Retired,7688.0,Married,1,5,3,4,5,3,3,3,3,1,Very satisfied with the overall quality of the service.
31319,INT006,Thabo Dlamini,2024-08-04,24,Yes,55.0,Female,KwaZulu-Natal,0631571126,resp31319@survey.co.za,Employed,5555.0,Single,1,1,4,1,5,1,4,3,2,3,The service was very helpful and professional overall.
58520,INT006,Thabo Dlamini,2024-09-28,17,Yes,,Other,Eastern Cape,0792270273,resp58520@survey.co.za,Retired,12862.0,Divorced,1,5,2,4,5,2,1,2,3,3,"Reasonable experience, though waiting times were a bit long."
56566,INT006,Thabo Dlamini,2024-09-21,22,Yes,66.0,Other,Mpumalanga,,resp56566@survey.co.za,Unemployed,,Widowed,1,3,1,4,4,3,1,3,3,2,Could be improved in some areas but generally satisfactory.
37460,INT007,Thabo Dlamini,2024-08-04,18,Yes,,Female,Western Cape,0828480659,resp37460@survey.co.za,Employed,33262.0,Widowed,2,5,1,4,3,1,1,1,1,5,Could be improved in some areas but generally satisfactory.
44993,INT007,Thabo Dlamini,2024-06-18,15,Yes,,Other,Gauteng,0744789081,resp44993@survey.co.za,Employed,22461.0,Widowed,2,3,4,5,1,5,4,4,4,4,"Good service delivery, the staff were knowledgeable."
19358,INT007,Thabo Dlamini,2024-07-16,25,Yes,,Other,Northern Cape,0741659867,resp19358@survey.co.za,Retired,24846.0,Married,4,1,1,3,5,3,1,4,3,2,"Staff were friendly, responsive, and easy to work with."
89840,INT007,Thabo Dlamini,2024-10-17,25,Yes,66.0,Female,Western Cape,0796162867,resp89840@survey.co.za,Retired,33703.0,Widowed,2,2,1,2,1,5,2,4,4,1,The service was very helpful and professional overall.
32431,INT007,Thabo Dlamini,2024-06-10,24,Yes,,Female,Gauteng,0813375493,resp32431@survey.co.za,Retired,7805.0,Single,4,1,2,5,4,5,2,5,2,1,"Good service delivery, the staff were knowledgeable."
80010,INT007,Thabo Dlamini,2024-10-06,18,Yes,,Male,Eastern Cape,0764700592,resp80010@survey.co.za,Employed,,Married,1,3,1,4,5,2,5,1,1,1,"Reasonable experience, though waiting times were a bit long."
42087,INT007,Thabo Dlamini,2024-07-01,24,Yes,43.0,Other,North West,0643369560,resp42087@survey.co.za,Retired,,Married,5,5,2,3,2,1,5,2,3,1,The process was straightforward and well explained to me.
31417,INT007,Thabo Dlamini,2024-07-16,21,Yes,57.0,Male,Free State,0842495541,resp31417@survey.co.za,Student,7667.0,Widowed,2,1,5,4,2,1,4,1,1,1,"Good service delivery, the staff were knowledgeable."
70589,INT007,Thabo Dlamini,2024-06-23,18,Yes,66.0,Male,Eastern Cape,,resp70589@survey.co.za,Student,39281.0,Widowed,4,4,2,2,5,1,5,2,4,5,The service was very helpful and professional overall.
59735,INT007,Thabo Dlamini,2024-06-29,17,Yes,57.0,Male,Eastern Cape,,resp59735@survey.co.za,Retired,11270.0,Widowed,5,3,5,5,2,4,2,3,1,2,Could be improved in some areas but generally satisfactory.
45382,INT007,Thabo Dlamini,2024-07-16,15,Yes,32.0,Other,Gauteng,0621487633,resp45382@survey.co.za,Retired,23681.0,Single,2,4,3,3,5,4,1,1,1,5,I enjoyed the experience and would recommend it to others.
83000,INT_FAST,Thabo Dlamini,2024-06-19,2,Yes,68.0,Female,Mpumalanga,0739127012,resp83000@survey.co.za,Employed,26344.0,Widowed,2,1,3,2,1,2,4,2,4,2,Could be improved in some areas but generally satisfactory.
38785,INT_FAST,Thabo Dlamini,2024-08-11,2,Yes,61.0,Female,KwaZulu-Natal,0622864104,resp38785@survey.co.za,Retired,13939.0,Widowed,4,2,3,3,2,3,2,1,5,1,"Reasonable experience, though waiting times were a bit long."
52504,INT_FAST,Thabo Dlamini,2024-09-27,2,Yes,43.0,Male,Limpopo,0641243334,resp52504@survey.co.za,Retired,16136.0,Married,5,5,2,1,4,5,4,2,5,4,Very satisfied with the overall quality of the service.
17331,INT_HIGH,Nomsa Khumalo,2024-09-17,24,Yes,30.0,Female,Gauteng,0747615594,resp17331@survey.co.za,Retired,19575.0,Single,5,2,5,1,4,1,1,4,5,1,"Good service delivery, the staff were knowledgeable."
40021,INT_HIGH,Nomsa Khumalo,2024-10-01,29,Yes,30.0,Female,Gauteng,0796114309,resp40021@survey.co.za,Unemployed,,Widowed,5,1,4,2,2,3,3,2,1,1,The service was very helpful and professional overall.
14207,INT_HIGH,Nomsa Khumalo,2024-08-15,28,Yes,30.0,Female,Gauteng,0725526314,resp14207@survey.co.za,Unemployed,14084.0,Single,4,2,3,4,1,1,4,3,5,1,The process was straightforward and well explained to me.
51347,INT_HIGH,Nomsa Khumalo,2024-10-22,15,Yes,30.0,Female,Gauteng,0812124172,resp51347@survey.co.za,Unemployed,28854.0,Married,1,1,4,3,4,5,1,3,3,2,The process was straightforward and well explained to me.
62581,INT_HIGH,Nomsa Khumalo,2024-06-17,21,Yes,30.0,Female,Gauteng,0716791940,resp62581@survey.co.za,Retired,36358.0,Widowed,5,2,2,3,3,3,5,4,3,1,I enjoyed the experience and would recommend it to others.
45093,INT_HIGH,Nomsa Khumalo,2024-07-16,29,Yes,30.0,Female,Gauteng,0642290961,resp45093@survey.co.za,Employed,39921.0,Married,3,4,5,3,1,2,4,1,1,4,"Staff were friendly, responsive, and easy to work with."
18675,INT_HIGH,Nomsa Khumalo,2024-09-22,29,Yes,29.0,Other,KwaZulu-Natal,0811360413,resp18675@survey.co.za,Student,,Married,2,5,1,3,4,5,2,4,3,4,I enjoyed the experience and would recommend it to others.
37653,INT_HIGH,Nomsa Khumalo,2024-08-18,24,Yes,23.0,Male,Northern Cape,0625362201,resp37653@survey.co.za,Unemployed,27465.0,Widowed,3,4,5,5,5,4,4,3,5,2,The process was straightforward and well explained to me.
84341,INT_HIGH,Nomsa Khumalo,2024-06-11,25,Yes,40.0,Male,KwaZulu-Natal,0713121873,resp84341@survey.co.za,Retired,15902.0,Divorced,5,2,5,3,2,2,2,2,2,1,The process was straightforward and well explained to me.
51245,INT_HIGH,Nomsa Khumalo,2024-10-06,15,Yes,33.0,Male,Northern Cape,0823439136,resp51245@survey.co.za,Retired,27534.0,Divorced,2,3,4,5,2,5,3,1,1,4,Could be improved in some areas but generally satisfactory.
37869,INT_HIGH,Nomsa Khumalo,2024-07-06,30,Yes,22.0,Other,Northern Cape,0792960855,resp37869@survey.co.za,Student,24369.0,Single,4,3,5,2,5,4,3,1,4,1,"Reasonable experience, though waiting times were a bit long."
75435,INT_HIGH,Nomsa Khumalo,2024-10-16,25,Yes,61.0,Male,Free State,0838473546,resp75435@survey.co.za,Employed,,Widowed,1,5,2,5,5,2,3,2,1,1,Very satisfied with the overall quality of the service.
61856,INT_HIGH,Nomsa Khumalo,2024-08-18,15,Yes,53.0,Female,Northern Cape,0732469661,resp61856@survey.co.za,Unemployed,28662.0,Widowed,4,2,4,3,4,3,1,3,3,3,"Reasonable experience, though waiting times were a bit long."
70142,INT_HIGH,Nomsa Khumalo,2024-06-17,27,Yes,50.0,Female,KwaZulu-Natal,0847304414,resp70142@survey.co.za,Employed,32144.0,Single,2,5,5,1,2,2,3,4,5,3,"Reasonable experience, though waiting times were a bit long."
28726,INT_HIGH,Nomsa Khumalo,2024-08-17,19,Yes,62.0,Female,North West,0738775431,resp28726@survey.co.za,Unemployed,42218.0,Single,2,2,2,4,3,5,4,1,3,5,The service was very helpful and professional overall.
44718,INT_HIGH,Nomsa Khumalo,2024-09-01,29,Yes,31.0,Female,Limpopo,0769061215,resp44718@survey.co.za,Retired,,Divorced,3,4,2,4,2,1,1,3,4,1,"Good service delivery, the staff were knowledgeable."
28301,INT_HIGH,Nomsa Khumalo,2024-06-14,30,Yes,66.0,Male,Mpumalanga,0647059317,resp28301@survey.co.za,Retired,6149.0,Divorced,3,2,5,1,2,3,4,2,3,2,The service was very helpful and professional overall.
42325,INT_HIGH,Nomsa Khumalo,2024-10-15,16,Yes,40.0,Female,Northern Cape,0766899361,resp42325@survey.co.za,Unemployed,17009.0,Single,1,5,2,5,3,3,3,3,3,1,Could be improved in some areas but generally satisfactory.
83579,INT_HIGH,Nomsa Khumalo,2024-10-20,29,Yes,55.0,Female,Mpumalanga,0812912044,resp83579@survey.co.za,Retired,15684.0,Widowed,1,2,2,5,2,2,5,5,5,5,I enjoyed the experience and would recommend it to others.
80644,INT_HIGH,Nomsa Khumalo,2024-07-03,29,Yes,29.0,Male,Gauteng,0833388393,resp80644@survey.co.za,Unemployed,28761.0,Divorced,2,4,5,5,3,2,3,1,1,2,Could be improved in some areas but generally satisfactory.
44438,INT_HIGH,Nomsa Khumalo,2024-06-16,27,Yes,35.0,Male,Western Cape,0732995183,resp44438@survey.co.za,Student,12321.0,Single,1,1,4,4,1,2,1,1,5,5,I enjoyed the experience and would recommend it to others.
86622,INT_HIGH,Nomsa Khumalo,2024-08-29,17,Yes,41.0,Other,Gauteng,0713693705,resp86622@survey.co.za,Unemployed,44439.0,Single,2,5,2,2,3,1,1,2,3,5,I enjoyed the experience and would recommend it to others.
66155,INT_HIGH,Nomsa Khumalo,2024-09-21,20,Yes,59.0,Male,Northern Cape,0792800606,resp66155@survey.co.za,Unemployed,23471.0,Divorced,2,5,1,1,2,5,4,3,5,2,"Reasonable experience, though waiting times were a bit long."
86484,INT_HIGH,Nomsa Khumalo,2024-06-22,21,Yes,49.0,Male,Northern Cape,0719283126,resp86484@survey.co.za,Employed,25596.0,Widowed,1,4,1,5,2,4,3,3,5,1,"Staff were friendly, responsive, and easy to work with."
62350,INT_HIGH,Nomsa Khumalo,2024-06-27,28,Yes,51.0,Other,Limpopo,0728349399,resp62350@survey.co.za,Employed,,Single,4,3,4,2,1,4,3,2,1,4,Could be improved in some areas but generally satisfactory.
57447,INT_HIGH,Nomsa Khumalo,2024-10-27,19,Yes,47.0,Female,Western Cape,0765579723,resp57447@survey.co.za,Retired,,Divorced,2,3,2,5,4,1,2,4,4,3,"Good service delivery, the staff were knowledgeable."
38746,INT_HIGH,Nomsa Khumalo,2024-06-14,29,Yes,64.0,Other,North West,0832144687,resp38746@survey.co.za,Retired,14658.0,Single,4,1,1,3,4,4,2,2,1,1,Could be improved in some areas but generally satisfactory.
28131,INT_HIGH,Nomsa Khumalo,2024-10-17,18,Yes,46.0,Other,Mpumalanga,0711296459,resp28131@survey.co.za,Employed,11313.0,Widowed,1,5,4,4,2,3,4,4,5,3,I enjoyed the experience and would recommend it to others.
76784,INT_HIGH,Nomsa Khumalo,2024-10-03,26,Yes,46.0,Female,Mpumalanga,0822835125,resp76784@survey.co.za,Retired,7358.0,Widowed,1,2,5,3,2,4,4,2,3,4,"Good service delivery, the staff were knowledgeable."
74686,INT_HIGH,Nomsa Khumalo,2024-07-03,15,Yes,57.0,Male,Northern Cape,0837147341,resp74686@survey.co.za,Student,37420.0,Single,5,4,5,3,3,3,1,1,5,1,The process was straightforward and well explained to me.
21915,INT_HIGH,Nomsa Khumalo,2024-06-30,25,Yes,46.0,Male,North West,0713848423,resp21915@survey.co.za,Employed,31996.0,Divorced,3,1,2,2,2,3,5,1,1,3,The service was very helpful and professional overall.
16175,INT_HIGH,Nomsa Khumalo,2024-06-26,30,Yes,51.0,Other,North West,0829193298,resp16175@survey.co.za,Employed,22473.0,Married,1,4,5,1,3,4,5,4,3,5,The process was straightforward and well explained to me.
24371,INT_HIGH,Nomsa Khumalo,2024-10-25,19,Yes,53.0,Other,Mpumalanga,0724789737,resp24371@survey.co.za,Employed,28811.0,Single,4,2,4,1,5,2,3,3,1,3,The process was straightforward and well explained to me.
30033,INT_HIGH,Nomsa Khumalo,2024-08-04,29,Yes,39.0,Male,Northern Cape,0769646460,resp30033@survey.co.za,Retired,27761.0,Married,1,3,5,3,4,5,3,2,4,4,The service was very helpful and professional overall.
30969,INT_HIGH,Nomsa Khumalo,2024-09-27,19,Yes,62.0,Other,Northern Cape,0625032805,resp30969@survey.co.za,Unemployed,18956.0,Divorced,4,3,5,5,4,5,1,5,2,3,"Reasonable experience, though waiting times were a bit long."
65333,INT_HIGH,Nomsa Khumalo,2024-06-08,20,Yes,48.0,Female,Western Cape,0636210006,resp65333@survey.co.za,Retired,22493.0,Widowed,3,2,3,5,2,4,2,1,2,2,"Reasonable experience, though waiting times were a bit long."
88172,INT_HIGH,Nomsa Khumalo,2024-06-22,20,Yes,49.0,Other,Gauteng,0715999260,resp88172@survey.co.za,Employed,,Widowed,2,1,3,3,5,2,1,4,1,1,The process was straightforward and well explained to me.
18326,INT_HIGH,Nomsa Khumalo,2024-06-24,26,Yes,64.0,Other,Western Cape,0633051464,resp18326@survey.co.za,Student,14211.0,Divorced,2,1,5,5,1,5,5,5,3,4,"Reasonable experience, though waiting times were a bit long."
60432,INT_HIGH,Nomsa Khumalo,2024-06-29,18,Yes,37.0,Female,Eastern Cape,0718109870,resp60432@survey.co.za,Retired,,Married,2,3,4,4,3,5,1,4,5,3,"Staff were friendly, responsive, and easy to work with."
60019,INT_HIGH,Nomsa Khumalo,2024-10-15,25,Yes,31.0,Female,Free State,0834965830,resp60019@survey.co.za,Retired,6381.0,Widowed,5,1,1,2,3,5,4,3,3,1,The service was very helpful and professional overall.
88104,INT_HIGH,Nomsa Khumalo,2024-09-29,16,Yes,47.0,Female,Limpopo,0817928341,resp88104@survey.co.za,Student,20431.0,Widowed,3,2,2,4,3,4,1,3,1,4,I enjoyed the experience and would recommend it to others.
